"uniqueID","manmade_mean","manmade_sd","precious_mean","precious_sd","lives_mean","lives_sd","heavy_mean","heavy_sd","natural_mean","natural_sd","moves_mean","moves_sd","grasp_mean","grasp_sd","hold_mean","hold_sd","be.moved_mean","be.moved_sd","pleasant_mean","pleasant_sd","arousing_mean","arousing_sd","n"
"locker","6.6765","1.3193","2.9118","1.7815","1.1176","0.6860","6.3235","0.9119","1.3529","0.7337","2.0000","1.5374","4.0882","1.9442","2.7941","1.9661","1.9412","1.4342","4.2647","0.9312","3.8529","0.4357",39
"locket","6.7027","0.6610","6.1892","0.7393","1.4595","1.1449","1.4865","0.7311","1.6757","1.1317","2.5405","1.9090","6.5946","0.8320","6.7838","0.4793","6.7027","0.6610","6.2703","0.9021","2.6486","1.4185",39
"log","1.5128","1.0481","3.1282","1.8235","2.7179","1.8346","5.8205","0.9966","6.7179","0.5595","3.2564","1.9292","3.6410","1.6301","3.0256","1.5642","3.0769","1.5455","4.3077","1.0299","3.7179","0.8568",34
"loincloth","6.4857","0.8531","3.2857","1.5257","1.4857","1.0109","1.6286","0.8075","3.0571","1.6968","3.3714","1.7671","6.2286","0.9727","6.2857","0.9258","6.3143","0.9933","4.1714","1.5432","4.4857","1.2217",38
"lollipop","6.7714","0.4260","4.0000","1.7150","1.2571","0.5054","1.3429","0.5392","2.5143","1.5410","1.7429","1.2210","6.5429","0.7413","6.7143","0.6674","6.7143","0.5725","6.2000","0.7971","3.0000","1.2127",38
"loom","6.8108","0.4618","3.9189","1.6563","1.1622","0.4418","5.7027","1.3095","2.3514","1.5849","4.3514","1.9180","4.8108","1.4110","3.2162","1.7181","3.4865","1.6094","4.8108","0.9380","3.3514","0.9780",38
"loveseat","6.7647","0.5537","3.7941","1.4095","1.3235","0.5349","5.9706","0.7171","1.6176","0.7791","1.5000","0.6629","3.2647","1.7634","2.2059","1.4308","2.7353","1.0242","5.5294","0.8956","3.0000","1.1547",38
"luggage","6.7436","0.8497","3.5128","1.9851","1.1795","0.6014","5.1282","1.1738","1.7179","1.2967","3.8718","2.1786","5.5385","1.1435","4.7949","1.2603","5.4615","1.0220","4.5641","1.1424","3.7692","1.1112",38
"lumber","4.8649","1.9172","4.5405","1.7094","2.5946","1.5892","6.1081","0.5669","6.0000","1.0541","1.7568","1.2112","4.5405","1.5201","4.0000","1.3944","4.0270","1.3842","4.7838","1.0836","3.5946","0.8963",38
"lunchbox","6.7949","0.7320","3.6410","1.7694","1.3077","0.7310","2.0000","1.2978","1.5897","0.8801","2.2308","1.5468","6.6154","0.5436","6.5385","0.6823","6.6154","0.6331","5.1795","0.9140","3.6923","0.8321",38
"macadamia","1.4324","0.8988","4.5135","1.3869","4.2162","1.9739","1.5946","1.0398","6.4595","1.1924","1.9730","1.3640","6.4324","0.7280","6.7838","0.5341","6.7297","0.5602","5.8919","1.0745","3.3784","1.3406",38
"macaroni","6.5128","0.7905","3.0513","1.4859","1.4872","0.9699","1.5897","1.0691","3.5128","1.5706","1.6154","1.2272","6.1538","1.3286","6.3077","1.2805","6.5128","0.9699","5.7179","1.0247","3.2564","1.0691",38
"machete","6.7027","0.6610","3.0270","1.6070","1.1892","0.3971","4.1081","1.5948","1.7297","1.0179","2.5405","1.6930","5.8649","1.1096","5.8378","1.0412","5.9189","1.0640","2.8649","1.0318","5.2703","1.1702",38
"machine_gun","6.6857","1.0508","3.1143","1.9519","1.2286","0.4902","6.1143","0.7960","1.4571","1.0387","4.0857","1.6868","4.4000","1.5185","4.0000","1.7321","4.0571","1.8302","2.5143","1.3584","5.5429","1.2210",38
"maggot","1.3158","1.0162","1.6053","1.1750","6.8684","0.3426","1.2105","0.4132","6.6579","1.0208","6.8421","0.3695","5.6053","1.6364","5.7368","1.5714","6.1579","1.2633","1.5526","0.9781","5.7368","1.4646",38
"magnet","6.0000","1.1855","3.8947","1.6405","1.4211","0.8584","4.1053","1.6072","4.0526","1.7698","2.3421","1.4003","6.0263","1.0777","6.1579","0.8551","6.0263","1.0523","4.2368","0.7510","4.0789","0.6731",33
