"uniqueID","manmade_mean","manmade_sd","precious_mean","precious_sd","lives_mean","lives_sd","heavy_mean","heavy_sd","natural_mean","natural_sd","moves_mean","moves_sd","grasp_mean","grasp_sd","hold_mean","hold_sd","be.moved_mean","be.moved_sd","pleasant_mean","pleasant_sd","arousing_mean","arousing_sd","n"
"aardvark","1.2632","1.0050","4.6053","1.2848","6.8421","0.5466","4.7895","1.3786","6.7105","0.6538","6.9211","0.2733","3.1579","1.2633","3.1842","1.4305","3.3158","1.3775","4.3947","1.0277","4.1579","1.0274",39
"abacus","6.8718","0.4091","4.1026","1.6669","1.5128","1.4118","3.3590","1.4233","2.2051","1.3607","4.2308","1.8703","5.5128","1.0481","5.4359","1.1424","5.6667","1.1547","4.7436","0.9925","3.7692","0.9308",38
"accordion","6.7500","0.6492","4.5000","1.7485","1.5000","1.2536","5.0556","1.4530","2.0000","1.1711","4.6944","1.9097","4.8889","1.4298","4.9167","1.2734","5.0833","1.3810","5.0556","1.3511","3.8889","1.3262",35
"acorn","1.2000","0.7195","4.2000","1.6768","5.0000","1.5530","1.4857","0.8179","6.8286","0.5137","2.7143","1.6903","6.5714","0.6081","6.7429","0.4434","6.7429","0.4434","5.1143","1.0508","3.5429","0.9185",34
"air_conditioner","6.8158","0.8336","4.1579","1.8820","1.2895","0.6538","6.1842","0.8961","1.3684","0.5891","2.1842","1.3528","3.3947","1.6528","2.6316","1.4222","2.6842","1.2757","5.7368","1.0574","2.7632","1.4784",37
"air_mattress","6.5556","1.5013","3.1111","1.7530","1.1389","0.5426","2.7778","1.5877","1.3611","0.7617","2.6111","1.8865","4.8056","1.3271","4.5556","1.5756","5.6389","1.3555","4.7222","1.1859","3.3056","1.2833",39
"air_pump","6.3947","1.5516","3.0000","1.7398","1.3684","0.9130","2.7632","1.4414","1.6053","1.0537","4.0000","2.1309","6.2105","1.0438","6.1316","1.0698","6.2105","0.7766","4.3684","0.8517","4.0789","0.7844",33
"airbag","6.8649","0.3466","4.4324","2.0755","1.3243","1.0555","2.8108","1.5958","1.4324","0.9586","4.1622","2.1018","3.5676","1.4821","3.4054","1.5359","3.5946","1.7553","3.8108","1.3507","4.6486","1.5849",38
"airboat","6.4054","1.4232","3.5135","1.8200","1.2432","0.4947","6.8108","0.3971","1.4865","0.6921","6.6486","0.9194","3.0000","1.9003","1.7027","1.3095","4.7838","1.6689","5.0270","1.0134","4.0000","1.3540",36
"aircraft_carrier","6.7222","1.0313","4.5833","1.6453","1.2778","0.6146","6.8333","1.0000","1.3056","0.6242","6.6667","0.4781","2.0833","1.6279","1.1944","0.5767","2.7778","1.8065","4.1667","0.9411","4.3889","1.1778",38
"airplane","6.8947","0.3883","5.1579","1.6526","1.2368","0.8833","6.5789","1.1060","1.8158","1.3327","6.5789","1.0813","1.8684","1.3187","1.3158","0.9330","3.3684","1.7618","4.9211","1.1480","4.3684","1.2823",36
"album","6.4474","1.2013","6.2105","0.8107","1.7368","1.5011","2.8947","1.6732","2.0263","1.2837","2.0263","1.4044","6.1579","0.8551","6.3684","0.7505","6.2632","0.8280","6.3158","0.8089","2.7368","1.5714",38
"alligator","1.0000","0.0000","4.4250","1.7958","7.0000","0.0000","6.0000","0.8771","6.7750","0.6197","7.0000","0.0000","2.0500","1.3765","1.4750","0.6400","1.9500","1.1756","3.0750","1.4392","5.9250","1.0715",37
"almond","1.7714","1.7165","4.3714","1.6992","4.5429","1.9755","1.3714","0.5983","6.8000","0.4058","2.1429","1.3093","6.3143","0.8321","6.6000","0.6039","6.6571","0.6835","5.6000","1.3763","3.2286","1.3522",35
"aloe","1.5263","1.0587","4.9737","1.3046","6.3158","0.8089","2.7895","1.3786","6.7632","0.8522","2.5526","1.4463","5.2632","1.4082","5.4474","1.3496","5.5263","1.3098","5.8158","1.0096","2.6579","1.3612",36
"alpaca","1.0833","0.2803","5.2500","1.1307","6.8611","0.3507","6.1389","0.9607","6.6667","0.7171","6.7222","0.5133","3.1944","1.5084","2.4444","1.4822","3.0278","1.5021","5.1111","1.3262","3.3889","1.3154",33
"altar","6.6154","0.9066","5.1795","1.2747","1.2308","0.7057","6.2308","0.9587","2.3846","1.3301","1.5897","1.0691","4.3590","1.9532","2.9487","1.8911","2.6923","1.3602","4.9744","1.1807","3.1282","1.1960",38
"aluminum_foil","6.5676","0.9586","3.3514","1.7514","1.2703","0.6519","1.5946","0.9267","2.4865","1.6435","1.8919","1.3496","6.2162","1.0836","6.3514","0.8887","6.5405","0.6910","4.3514","0.9194","3.9730","0.4401",38
"amber","1.4167","0.9373","5.5278","1.4830","2.0000","1.2189","3.1389","1.5520","6.7500","0.5542","1.9722","1.4830","5.5000","1.2984","5.8611","1.0185","5.1389","1.4958","5.5000","1.1339","3.0833","1.5189",39
"ambulance","6.5833","1.1557","4.9167","1.7788","1.3333","1.0690","6.9167","0.2803","1.5000","0.9411","6.6111","0.5989","3.1389","2.0164","1.3889","0.8028","5.1389","1.8997","3.5556","1.3616","5.2222","1.3546",37
"amplifier","6.9444","0.2323","3.9722","1.6473","1.1944","0.4672","5.5556","1.2523","1.3611","0.8333","1.8333","1.5399","4.3333","1.6036","3.9722","1.7966","4.4444","1.3824","5.2222","1.0983","4.5000","1.4243",40
"anchor","6.8108","0.5184","3.7027","1.7299","1.1081","0.3148","6.7838","0.5341","1.6216","1.0633","2.9189","2.0464","3.5946","1.7394","1.8919","1.4488","2.0000","1.2472","3.9189","0.8621","3.8919","0.8751",38
"ankle","1.7297","1.3049","5.1622","1.8932","5.6486","1.5495","3.1081","1.3078","6.5405","0.9005","6.6757","0.5799","5.8108","0.9079","5.4595","1.1924","6.0000","1.1785","4.7027","1.1987","3.9189","0.8938",39
"anklet","6.6667","0.6325","4.8889","1.3893","1.6944","1.4505","1.3611","0.5426","2.6389","1.6588","2.8056","1.9540","6.4167","0.9673","6.5833","0.6918","6.4167","1.1307","5.5833","1.1557","3.6389","1.1989",38
"ant","1.0556","0.2323","2.8611","2.0022","6.9444","0.2323","1.0833","0.2803","6.8889","0.3187","6.8889","0.3984","4.9444","1.8039","5.1667","1.6818","5.7222","1.5045","3.1111","1.3686","4.6389","1.2456",38
"anteater","1.4865","1.0441","5.1081","1.3288","6.6486","0.6756","5.3784","1.1143","6.4054","0.7979","6.4865","0.6921","3.4865","1.3043","2.5946","1.2793","3.2162","1.3771","4.4595","1.0164","4.0270","1.0668",40
"antelope","1.0556","0.2323","5.1944","1.5273","6.8611","0.3507","6.0000","0.9562","6.5556","0.8087","6.8056","0.4014","2.3056","1.1667","1.8611","1.0731","2.6111","1.4595","5.1111","0.9791","3.5833","0.9964",36
"antenna","6.7368","1.0050","3.2105","1.5796","1.2105","0.4741","5.1053","1.4102","1.4211","0.7581","3.0263","1.7318","4.2895","1.5923","3.6316","1.4781","3.4737","1.5020","3.9737","0.8216","4.0789","0.7491",39
"anvil","6.7222","0.5662","2.8333","1.5399","1.2500","0.6492","6.8889","0.3187","2.2222","1.5140","1.7778","1.0450","2.8611","1.6588","1.6111","0.7664","1.8889","1.0359","3.5556","1.1070","4.3333","1.0142",38
"appetizer","6.4324","1.2143","3.7297","1.7740","1.2973","0.6176","1.4865","0.6921","3.7027","1.9417","1.5405","0.9005","6.4595","0.7672","6.6486","0.5383","6.7027","0.4634","6.2703","0.8383","3.4595","1.8042",33
"apple","1.4474","1.2455","4.0000","1.9313","4.9737","1.7932","1.6316","0.6747","6.7895","0.4132","1.6316","0.7505","6.6579","0.4808","6.7368","0.4463","6.8158","0.3929","6.0000","1.0905","3.5526","0.9781",37
"apple_tree","2.0000","1.8158","5.6053","1.2420","6.6053","1.0537","6.2632","0.9497","6.8947","0.3883","2.9737","2.0858","4.3684","1.9371","2.6053","1.9665","1.7895","1.3184","6.2632","0.7235","2.8947","1.3909",38
"applesauce","6.1389","1.0462","3.5278","1.6645","1.8056","0.9804","2.1389","1.4765","4.9167","1.4417","2.3056","1.3054","4.6111","1.7284","4.9444","1.5482","5.6667","1.3310","5.6944","0.9804","3.4167","1.2956",37
"apron","6.5714","0.8501","2.4286","1.5202","1.1714","0.4528","1.3429","0.7648","1.9429","1.2821","1.7714","1.2853","6.3429","1.0556","6.6000","0.6508","6.6286","0.5983","4.4857","1.0947","3.6857","1.0508",37
"aquarium","6.6923","0.5691","4.5385","1.7748","2.6923","2.0020","6.3846","0.5901","2.9231","1.8972","2.7949","2.0285","3.6410","1.9397","2.7436","1.5341","2.6667","1.4749","5.9487","0.9986","2.1026","1.1652",39
"arch","6.7632","0.7510","4.1053","1.7366","1.2895","0.6538","6.8421","0.4366","1.8947","1.1576","1.2895","0.7318","2.3158","1.8025","1.5000","1.2892","1.1053","0.3883","5.2895","1.0110","3.6053","1.3664",39
"arm","2.4474","2.1014","6.0789","1.2386","6.5000","0.6877","3.8158","1.3726","6.4737","1.0064","6.6053","0.6794","5.9474","0.8036","5.8947","0.7983","6.3158","0.7391","5.1316","1.1430","3.7632","1.1954",40
"armor","6.6579","0.8785","4.5000","1.8708","1.2895","0.5151","6.4737","0.5569","1.8421","1.2198","3.4737","2.0761","4.6842","1.5957","4.0789","1.6172","4.1316","1.6793","3.7632","0.9982","4.6053","1.0011",36
"arrow","6.7179","0.7236","3.3846","1.5663","1.1795","0.6833","1.5897","0.7511","2.2821","1.4681","4.4359","2.3033","6.2051","1.0558","6.3590","1.0127","6.0256","1.1582","4.2051","0.9509","4.5128","0.9699",35
"artichoke","1.4211","1.0560","3.7368","1.9408","5.0263","2.1746","2.2895","1.5051","6.6316","0.8829","2.1579","1.6362","5.9211","1.0496","6.3421","0.7081","6.2895","0.8977","5.2105","1.0694","3.7895","0.8748",39
"arugula","1.8205","1.6363","3.8462","1.6786","6.0256","1.5809","1.3590","0.9315","6.7436","0.4983","2.8974","1.8180","6.6667","0.6623","6.6410","0.6277","6.6923","0.6136","5.3077","1.3407","3.9487","1.0748",36
"ashtray","6.8947","0.3110","2.1579","1.3260","1.3158","0.8417","2.2632","1.3087","1.3947","0.7181","1.9474","1.3940","5.8947","1.4292","6.1842","1.1115","6.4737","0.9223","2.2368","1.2398","4.4474","1.1076",34
"asparagus","1.6316","1.2175","3.7895","1.6951","4.9211","1.7145","2.3421","1.4003","6.6842","0.5253","2.1316","1.2119","5.8684","1.0698","6.1316","0.8752","6.0263","0.9996","5.0789","1.3829","3.8158","0.8336",36
"avocado","1.6216","1.2770","4.3243","1.7959","5.1892","1.8832","1.9730","1.1899","6.6486","0.5383","2.1081","1.4679","6.2432","1.0383","6.5676","0.6028","6.5676","0.7652","5.8108","1.2657","3.3784","1.3406",39
"awning","6.7143","0.5725","3.3714","1.8001","1.5143","1.2455","4.5714","1.7199","1.7714","1.1137","3.2000","1.8439","4.0000","1.7987","3.1143","1.6938","3.5143","1.7552","5.2571","1.1966","3.0571","1.2353",38
"axe","6.6410","0.5843","3.3590","1.8565","1.4615","1.3148","5.3590","1.3667","2.6923","1.7344","3.4615","2.2577","5.6410","1.3276","5.4103","1.2294","5.1795","1.3548","3.9744","1.1582","4.5641","0.9402",38
"baby","3.9444","2.4605","6.7222","0.5133","6.8333","0.5606","3.1389","1.4571","6.6944","0.6684","6.5833","0.9964","5.9167","1.1052","5.9722","1.2302","6.2778","0.8489","6.3333","0.9562","3.6111","1.9752",36
"backdrop","6.4324","1.2143","3.1351","1.6357","1.1622","0.4418","4.4054","1.7553","1.8919","1.2198","2.6486","1.9467","5.2432","1.2997","4.3514","1.6703","4.4595","1.6261","4.6486","1.1110","3.8108","0.7007",38
"backgammon","6.6316","0.9979","3.2632","1.7962","1.3421","0.8785","2.0789","1.2602","1.7895","1.2116","2.8158","1.9152","5.5263","1.4656","5.7368","1.4460","5.9211","1.3433","5.2105","1.2337","3.7368","1.2879",32
"backpack","6.6923","0.7662","3.4103","1.8598","1.3590","0.9315","4.3846","1.6798","2.0513","1.4859","2.7949","1.8379","5.8974","1.0207","6.0769","0.9286","6.0769","1.0854","4.5641","0.8824","4.0513","0.5595",38
"backscratcher","6.6053","0.9165","2.7632","1.5671","1.1053","0.3110","1.2368","0.4896","2.5789","1.7341","1.7632","1.3443","6.5526","0.9781","6.6842","0.5745","6.6842","0.6619","5.9474","1.1843","2.7895","1.2554",35
"bacon","4.8611","2.0022","4.0556","2.2161","1.9167","1.2277","1.5000","1.0823","4.3611","2.0305","1.7500","1.2277","6.6111","0.4944","6.5278","0.6964","6.5556","0.7725","6.1389","1.0994","3.9722","1.7645",39
"badge","6.7568","0.4947","5.2432","1.4607","1.2703","0.9021","2.3243","1.4917","1.8649","1.1344","1.8649","1.3573","6.6757","0.5799","6.7297","0.5602","6.6216","0.7583","5.5135","1.4068","3.6486","1.3169",38
"badger","1.2895","0.8671","4.8947","1.4849","6.8421","0.4366","4.2105","1.5096","6.8684","0.3426","6.7368","0.6445","3.0526","1.7850","2.7368","1.6875","3.3158","1.7101","3.7632","1.5323","4.9737","1.4423",39
"bag","6.5135","1.3869","3.5135","1.7260","1.1622","0.4418","2.0270","1.1177","1.9730","1.3014","2.1081","1.7446","6.5676","0.6472","6.5946","0.6438","6.6216","0.6391","5.1892","1.0230","3.7027","0.9087",35
"bagel","6.2973","0.9962","3.5946","1.5359","1.4595","0.8026","1.4324","0.6888","3.1892","1.6640","1.6757","0.8183","6.6757","0.5799","6.7297","0.5082","6.7838","0.4793","5.7297","1.1937","3.3514","1.1357",38
"bagpipe","6.7838","0.4793","4.3784","1.3406","1.4595","1.0696","3.6757","1.5466","2.1892","1.4689","2.7568","1.9207","5.2432","1.2112","5.4865","1.0703","5.3784","1.1631","4.8649","1.4174","3.9730","1.4431",39
"baklava","6.4872","0.7905","3.6667","1.8401","1.3333","0.6213","2.0769","1.3647","3.3077","1.8660","1.3846","0.7475","6.1795","0.7905","6.3077","0.7998","6.4103","0.7853","6.0256","1.0127","3.3846","1.1382",38
"balance_beam","6.6154","0.7819","2.7692","1.4949","1.1795","0.3888","6.1538","1.2884","2.2308","1.2239","1.6154","0.9898","4.4615","1.7144","2.9231","1.8551","2.3590","1.5302","4.5128","0.7905","4.1538","1.0397",37
"ball","6.7105","1.0110","2.9737","1.8082","1.0526","0.2263","1.7632","1.0249","1.4211","0.7929","5.1842","2.0514","6.0526","1.2509","6.5000","0.5575","6.7105","0.5151","5.5789","0.9192","4.2368","1.0249",37
"balloon","6.6667","1.0420","3.2222","1.8534","1.3056","0.5248","1.1667","0.3780","1.4167","0.9063","4.6667","1.9712","5.7778","1.2215","6.3056","0.7863","6.6111","0.5989","5.9167","0.8742","3.6667","1.5306",38
"ballot_box","6.6667","1.0954","3.9167","2.1297","1.2500","0.7700","3.3056","1.6702","1.7222","1.2097","2.0556","1.5296","5.0833","1.4218","5.3611","1.1502","5.4722","1.2302","4.1389","0.7232","4.1389","0.5426",37
"bamboo","1.3500","1.2310","4.6000","1.6298","6.2500","1.5149","4.0250","1.9147","6.9000","0.3038","3.1500","2.0198","5.8000","1.1591","5.7750","1.1655","4.7500","1.5648","5.3000","1.1591","3.1000","1.3166",38
"banana","1.4737","1.3899","4.1842","1.6742","4.3947","2.0865","1.3421","0.5340","6.7368","1.0050","1.6579","1.1455","6.7368","0.7235","6.8158","0.3929","6.7105","0.6111","5.6842","1.0681","3.3684","1.0761",38
"banana_peel","1.4000","0.8412","2.3000","1.2649","3.1500","2.0946","1.3000","0.6076","6.6250","0.6675","2.1250","1.5053","6.3500","0.7355","6.4250","0.7121","6.5250","0.8161","3.6750","1.0225","4.0000","0.7511",39
"banana_split","6.4359","0.8206","4.4872","1.3352","1.6154","1.0910","2.4359","1.6025","3.6923","1.8232","1.6923","1.0798","5.3333","1.5784","5.5897","1.4639","5.7949","1.4175","6.3077","1.0299","3.3077","1.6084",37
"bandage","6.8919","0.3148","3.6757","2.0555","1.1622","0.4418","1.2973","1.0237","2.1351","1.4369","2.0811","1.5162","6.4595","0.7301","6.7838","0.5341","6.4054","0.9563","3.7027","1.2663","4.0270","1.3226",40
"bandanna","6.7143","0.4583","3.0000","1.6977","1.0857","0.2840","1.0857","0.2840","2.3714","1.7335","2.0286","1.6536","6.6286","0.7311","6.7714","0.4902","6.8000","0.4058","4.5714","1.0371","3.5429","0.9805",39
"banjo","6.8649","0.3466","4.4595","1.5018","1.1351","0.4191","2.7568","1.2562","1.7027","1.1021","2.4865","1.6935","5.7297","1.3874","5.8919","1.1734","5.9730","1.1899","5.4054","0.9849","3.5946","1.2351",36
"bank","6.6923","1.0040","4.2051","1.8522","1.4103","0.9380","3.6923","1.6247","1.6154","1.2485","1.8718","1.2178","5.4103","1.3902","5.1795","1.6839","5.1282","1.6887","5.0769","0.9565","3.6923","0.8931",37
"banner","6.7250","0.5057","3.2000","1.3625","1.4250","1.0350","3.5500","1.3388","1.7250","1.1091","3.8250","1.7670","5.2500","1.2352","5.2000","1.2649","5.2250","1.2504","4.2500","0.7425","4.2250","0.8317",38
"barbed_wire","6.8611","0.3507","2.5000","1.6987","1.3611","1.1748","3.3889","1.6781","1.4167","0.8062","1.6667","1.1464","2.2222","1.4950","2.0833","1.3601","2.4167","1.2734","1.9722","1.0278","5.0000","1.2649",38
"barbell","6.8333","0.3780","3.3056","1.9097","1.2778","0.6595","6.3889","0.6878","1.6111","0.7664","3.1389","1.9589","5.0833","1.7788","4.1667","1.8127","3.8889","1.8327","4.3333","1.1212","4.0833","1.1052",40
"barcode","6.4103","1.4639","2.7179","1.6851","1.3077","0.6941","1.3077","0.6941","1.4872","0.9140","1.6410","1.3076","4.1026","1.9574","4.1795","2.0374","4.0000","1.9735","3.7949","0.8938","3.7436","0.9657",37
"bark","1.3333","1.1317","4.1795","1.8335","5.0000","1.9057","3.5897","1.6657","6.8205","0.5559","2.1795","1.2327","4.7949","1.4900","4.8205","1.6201","4.8718","1.5249","4.8974","1.0462","3.3590","0.9864",37
"barnacle","1.5000","1.5024","3.3333","1.8361","6.3889","1.2485","2.3333","1.4343","6.5000","1.1588","4.3889","1.9015","4.7222","1.4660","4.8889","1.4497","4.0278","1.7482","3.3333","1.3522","4.0833","1.0522",39
"barrel","6.4324","1.1190","3.1892","1.5062","1.4595","0.9602","6.1622","0.9284","3.0000","1.6833","2.0811","1.4791","3.0811","1.4977","2.8378","1.6247","3.4865","1.4836","4.2973","0.7403","3.8649","0.6308",40
"barrette","6.6389","0.7617","3.4444","1.6291","1.2778","0.8819","1.6111","0.8028","1.9722","1.2532","2.2222","1.5877","6.4722","0.8447","6.6111","0.7664","6.6667","0.5345","5.5833","0.7319","3.6667","1.1212",37
"baseball","6.7632","0.4896","3.2368","1.7466","1.2895","1.0631","1.9474","1.3940","1.8421","1.3661","4.5000","1.9417","6.5000","0.7623","6.6053","0.6384","6.6316","0.7136","5.0263","1.1965","3.8158","1.0096",39
"baseball_bat","6.8056","0.4014","3.2778","1.7826","1.4167","0.6918","3.7778","1.6055","2.8056","1.5824","2.8056","1.7699","6.0000","1.3093","6.3333","0.7928","6.2500","1.0790","4.6389","1.1989","4.1944","0.9508",39
"baseball_glove","6.5556","1.0809","4.1111","1.5265","1.7500","1.6626","2.6111","1.6437","2.6111","1.8405","2.4444","1.7638","6.1667","0.9710","6.2222","1.0173","6.3611","1.0994","5.1667","0.9710","3.6667","1.2189",36
"basil","1.3846","1.0416","4.3846","1.9949","6.0513","1.5551","1.5641","1.0462","6.7949","0.4091","2.8718","1.7499","6.3846","0.8148","6.5641","0.5980","6.0769","1.2436","5.9744","1.0634","2.9744","1.2028",38
"basket","6.6410","0.5843","3.5897","1.6498","1.3333","0.8686","2.0256","1.2245","3.9487","1.8771","1.9487","1.5035","6.3333","0.8377","6.3590","0.6684","6.2308","1.0628","5.3077","1.0040","3.4872","1.0729",39
"basketball","6.7692","0.4846","2.8974","1.6189","1.1538","0.5399","1.7179","0.7236","1.6667","1.0345","4.5641","2.1373","5.7692","1.1347","6.2821","0.9162","6.5385","0.6823","5.3333","1.0345","4.0256","1.1353",36
"basketball_hoop","6.5405","1.3662","2.7568","1.6228","1.3243","0.8516","3.7838","2.1231","1.5405","0.9602","2.6757","1.6168","4.5946","1.4992","4.1081","1.8824","3.6486","1.9751","4.8108","1.0759","4.2703","1.0967",34
"bassinet","6.5405","0.9308","5.2703","1.3468","1.5676","1.4442","4.2703","1.4653","2.4054","1.3634","3.3784","1.9487","5.0541","1.4132","4.2973","1.6810","4.7838","1.7019","5.6486","1.0857","3.0270","1.6748",36
"bassoon","6.8158","0.3929","4.5526","1.4832","1.2895","0.6111","4.0789","1.4023","2.2368","1.4414","2.3421","1.5470","5.3684","1.1951","5.1316","1.2980","5.4737","1.2890","5.2895","1.0110","3.2368","1.3241",37
"bat1","1.1892","0.8445","4.0000","2.1213","6.7838","0.5341","2.0270","1.1899","6.7568","0.6833","6.8108","0.3971","3.7568","1.9207","3.5405","1.9663","3.8108","1.9413","3.1351","1.7820","5.0541","1.4897",37
"bat2","6.7027","0.9087","3.1622","1.6752","1.3514","0.7534","3.2432","1.4796","2.3784","1.4014","2.7838","2.0566","6.4054","1.1416","6.5676","0.6472","6.5405","0.6910","4.4865","1.0171","4.0541","0.9703",37
"bathmat","6.5128","1.3153","3.0000","1.6384","1.1282","0.3387","1.9487","1.3169","2.1026","1.3533","2.1795","1.7148","6.2051","0.8639","6.2051","0.9228","6.2564","1.0691","4.7949","0.9509","3.5641","0.9118",36
"bathrobe","6.6111","1.0496","3.5833","1.5924","1.1944","0.5767","2.1944","1.3484","2.3611","1.4958","2.2222","1.5140","6.3056","0.8218","6.4167","0.8062","6.5278","0.7741","6.3333","0.8281","2.2222","1.4165",37
"bathtub","6.7714","0.5983","4.2286","1.6643","1.2857","0.8599","6.6000","0.5531","1.9143","1.4627","1.4286","0.8501","4.0857","1.8530","2.0286","1.5622","1.8000","1.1581","5.8857","1.1054","2.4571","1.5967",37
"baton1","6.6154","1.0161","2.8718","1.1045","1.2308","0.5832","2.0000","0.8885","1.6667","1.0345","3.2051","2.0923","6.3590","0.8107","6.4359","0.6804","6.4359","0.6804","4.3333","1.0345","3.9487","1.1459",37
"baton2","6.4054","1.2793","2.7027","1.6975","1.5946","1.2574","3.4324","1.7085","1.9730","0.9276","2.8919","1.8971","6.2432","1.0647","6.1892","1.0230","6.2432","0.9833","2.8108","1.5606","5.3784","1.2770",38
"baton3","6.6250","0.7742","2.9000","1.5157","1.4250","1.0595","2.0500","1.3195","1.9500","1.3578","3.6750","2.0050","6.3500","1.1220","6.4750","0.7157","6.2750","1.2192","4.6500","1.1220","4.2250","0.9997",38
"baton4","6.8649","0.3466","2.7838","1.5117","1.1081","0.3148","2.5676","1.5730","1.7297","1.2167","2.5405","1.8042","6.4324","0.7652","6.4865","0.7311","6.4595","0.9887","4.1351","1.1096","4.1622","0.9284",39
"batter","6.2973","1.1514","3.7027","1.7774","1.9459","1.4519","2.5946","1.4426","3.5946","1.5177","2.6216","1.8005","3.0000","1.5811","3.0811","1.6895","5.5405","1.1924","5.3784","1.0369","3.5135","1.1696",39
"battery","6.8462","0.3655","3.1795","2.0114","1.6154","1.2899","2.5897","1.8598","1.5128","0.9699","1.7949","1.4542","6.4359","0.8824","6.5641","0.6405","6.4872","0.9699","4.4103","1.0442","3.7692","0.9308",35
"bazooka","6.8947","0.3110","2.6579","1.5986","1.1316","0.3426","5.7895","0.8748","1.4211","0.7581","2.2895","1.7070","4.0526","1.5587","3.8684","1.4736","3.9737","1.5680","2.6316","1.3837","5.2105","1.4733",38
"beachball","6.5128","1.5538","2.5128","1.6839","1.3590","1.2458","1.2051","0.4690","1.4359","1.2311","4.7692","2.0833","5.4872","1.5196","6.2308","0.9857","6.7692","0.4846","5.5128","0.9966","3.9744","1.1582",37
"bead","6.6316","0.7136","4.1053","1.4102","1.1579","0.3695","1.3158","0.6197","2.1579","1.4801","3.0263","1.7162","6.6053","0.6794","6.7368","0.5543","6.8947","0.3110","5.3684","0.9130","3.3421","0.9939",37
"beaker","6.8718","0.3387","3.3077","1.7495","1.1795","0.5559","2.1795","1.1669","2.1026","1.3726","2.2051","1.6251","6.4615","0.7555","6.5641","0.5980","6.6154","0.5436","4.2051","0.6147","3.9231","0.4221",36
"bean","1.4750","0.9604","4.0250","1.9012","4.6750","2.3137","1.4250","0.9026","6.7500","0.4935","2.0750","1.5752","6.4250","0.7472","6.6500","0.5335","6.5500","0.8756","4.9250","1.0952","3.7000","0.8829",39
"beanbag","6.7105","0.8671","3.5263","1.5199","1.3947","0.6794","3.1053","1.7521","1.6842","1.0681","2.3158","1.6621","4.8684","1.2980","4.8421","1.3462","5.6053","1.0790","5.6579","1.2142","2.6842","1.0681",38
"beanie","6.8378","0.3737","3.2703","1.6939","1.3243","1.1069","1.1892","0.5184","2.2432","1.4607","2.0541","1.3529","6.5676","0.8347","6.7568","0.5480","6.7297","0.6519","5.5135","1.0171","3.0000","1.1547",38
"bear","1.0789","0.2733","4.9211","1.5489","6.9474","0.2263","6.7895","0.4741","6.8947","0.3110","6.8684","0.6646","1.6053","1.2848","1.3947","0.9165","1.6316","1.3441","4.0263","1.4423","5.5526","1.2236",37
"beard","3.0270","2.0614","3.4865","1.6094","3.8919","1.9406","2.3514","1.6536","6.3514","0.8238","3.2432","1.8319","5.3514","1.5495","4.7838","1.5659","3.7838","1.9598","4.4324","1.3445","4.3784","1.1631",36
"beaver","1.4474","1.3891","5.1842","1.2271","6.8947","0.3110","4.2895","1.1368","6.6579","0.7453","6.8158","0.3929","3.1316","1.4918","3.1316","1.5452","3.6842","1.6621","4.8158","1.2489","4.0526","0.9285",40
"bed","6.8571","0.3550","4.6286","1.6465","1.3429","0.8726","6.2000","0.6325","2.6286","1.5734","2.1429","1.4781","3.3714","1.6465","2.2286","1.2623","2.9714","1.1754","6.2000","1.0516","2.3714","1.8800",38
"bedpan","6.8056","0.4672","2.0000","1.1212","1.2778","0.7787","2.0278","1.0552","1.4444","0.6068","1.8889","1.3893","5.7500","1.1802","5.9167","1.0522","5.9722","0.9098","2.8333","1.3836","4.3056","0.9804",36
"bedpost","6.6667","0.9823","3.1282","1.8235","1.3590","0.9315","4.8974","1.4104","3.2821","1.7763","2.2564","1.5848","5.5385","1.4482","4.6154","1.5663","3.7949","1.5420","4.7692","1.0121","3.5128","1.0729",35
"bee","1.3784","1.2770","5.8378","1.3020","6.9459","0.2292","1.3784","0.7583","6.8108","0.5695","6.9459","0.2292","3.0000","1.6159","3.0000","1.5986","4.0541","1.5446","4.0000","1.8559","5.2162","1.5659",34
"beehive","1.2286","0.6456","5.4571","1.3138","4.4857","2.0346","4.4571","1.3793","6.7143","0.6674","2.6571","1.3491","2.6286","1.6465","2.0000","1.3284","1.9143","1.2689","3.5714","1.6321","5.4571","1.3793",39
"beer","6.6111","0.8028","3.5000","1.6987","1.5556","1.0541","2.3611","1.3970","3.4722","1.6473","2.4444","1.7146","4.9444","1.7880","5.2500","1.7300","5.6667","1.4142","4.9167","1.8420","3.9167","1.5743",38
"beet","1.5263","1.3302","3.9737","1.5507","5.0789","2.1102","2.0263","1.3653","6.7632","0.4896","2.2105","1.5450","6.2368","1.0249","6.5000","0.6040","6.4737","0.6872","4.6579","1.3209","3.7632","0.5897",38
"beetle","1.1026","0.3074","3.3846","1.7861","6.8462","0.4315","1.4872","1.1209","6.5385","1.1203","6.6667","0.9823","5.4103","1.4994","5.6410","1.3076","5.7949","1.3412","3.3333","1.6910","4.7692","1.4228",38
"bell","6.7838","0.5838","3.7568","1.6399","1.3243","0.7474","4.3784","1.4405","1.7568","1.0905","4.8919","1.5052","5.1892","1.1264","5.1622","1.0412","5.1622","1.0932","5.2432","1.0112","4.0000","1.3944",36
"bell_pepper","1.7778","1.3333","3.8333","1.6987","5.0556","2.2161","1.6667","1.1212","6.6111","0.9033","2.1944","1.5642","6.5000","0.6969","6.7500","0.4392","6.7222","0.5133","5.7222","0.9743","3.8333","1.3202",39
