Word	Definition (from WordNet, Google, or Wikipedia)	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
bouquet	an arrangement of flowers that is usually given as a present																																																					
bow1	"a knot with two loops and loose ends; used to tie shoelaces"				1	1																											1																					
bow2	a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow																											1																										
bow3	a decorative interlacing of ribbons																																																					
bowl	"a round vessel that is open at the top; used chiefly for holding food or liquids;"						1																																															
bowler hat	a felt hat that is round and hard with a narrow brim				1																																											1						
bowling ball	a large ball with finger holes used in the sport of bowling																						1																															
bowtie	a man's tie that ties in a bow				1	1																																																
box	"a (usually rectangular) container; may have a lid"						1																																															
boxer shorts	underpants worn by men				1																																																	
boxing gloves	"boxing equipment consisting of big and padded coverings for the fists of the fighters; worn for the sport of boxing"																						1																															
boy	a youthful male person																																																					
bra	an undergarment worn by women to support their breasts				1																																																	1
brace	a support that steadies or strengthens something else																	1																																				
bracelet1	a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist				1	1																																																
bracelet2	jewelry worn around the wrist for decoration					1																												1																				
bracket	a support projecting from a wall (as to hold a shelf)																													1																								
braid	a hairdo formed by braiding or twisting the hair																																																					
brake	a restraint used to slow or stop a vehicle																				1																																	
branch	a division of a stem, or secondary stem arising from the main stem of a plant																																																					
brass knuckles	"a small metal weapon; worn over the knuckles on the back of the hand"																											1																										
bread	food made from dough of flour or meal and usually raised with yeast or baking powder and then baked										1																																	1										
breadbox	a container used to keep bread or cake in						1																																															
breadstick	"a crisp stick-shaped roll; often served with soup"										1																																											
breakfast	the first meal of the day (usually in the morning)										1																																	1										
breathalyzer	a device that measures chemicals (especially the alcohol content) in a person's expired breath																																																					
brick	"rectangular block of clay baked by the sun or in a kiln; used as a building or paving material"																																																					
briefcase	"a case with a handle; for carrying papers or files or books"						1																																															
broccoli	plant with dense clusters of tight green flower buds										1											1				1																												
brooch	a decorative pin worn by women					1																												1																				
broom	"a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle"																							1																														
brownie	square or bar of very rich chocolate cake usually with nuts							1			1																																											
brush	an implement that has hairs or bristles firmly set into a handle																							1																														
brussels sprouts	the small edible cabbage-like buds growing along a stalk of the brussels sprout plant										1															1																												
bubble	a hollow globule of gas (e.g., air or carbon dioxide)																																																					
bubble wrap	plastic packaging material in sheets containing numerous small air cushions designed to protect fragile goods																																																					
bucket	a roughly cylindrical vessel that is open at the top						1																																															
buckle	"fastener that fastens together two ends of a belt or strap; often has loose prong"					1																											1																					
buffet	a meal set out on a buffet at which guests help themselves										1																																											
bug	general term for any insect or similar creeping or crawling invertebrate	1													1																																							
buggy	a small motor vehicle, typically one with an open top																										1																											
bull	uncastrated adult male of domestic cattle	1																													1																					1		
bulldozer	"large powerful tractor; a large blade in front flattens areas of ground"																										1																							1				
bullet	a projectile that is fired from a gun																											1																										
bulletin board	"a board that hangs on a wall; displays announcements"																																																					
bulletproof vest	a vest capable of resisting the impact of a bullet				1																																									1			1					
bumper	a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage																				1																																	
bun	a roll designed for holding other food, in particular meat										1																																											
bungee	an elasticized rope																																																					
bunkbed	beds built one above the other												1																																									
buoy	"bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards"																																																					
burner	the heating elements of a stove or range on which pots and pans are placed for cooking															1																																						
burrito	a flour tortilla folded around a filling										1																																											
bus	"a vehicle carrying many passengers; used for public transport"																										1																											
bush	a low woody perennial plant usually having several major stems																					1																																
butter	"an edible emulsion of fat globules made by churning milk or cream; for cooking and table use"										1																									1																		
butterfly	diurnal insect typically having a slender body with knobbed antennae and broad colorful wings	1													1																																							
button	a round fastener sewn to shirts and coats etc to fit through buttonholes					1																											1								1													
button	an electrical switch operated by pressing																													1																								
cabbage	any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers										1											1				1																												
cabinet	"a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display"						1						1																																									
cable	a conductor for transmitting electrical or optical signals or electric power																													1																								
cactus	any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines																					1																																
cage	an enclosure made or wire or metal bars in which birds or animals can be kept						1																																															
cake	baked goods made from or based on a mixture of flour, sugar, eggs, and fat							1			1																																											
cake mix	a commercial mix for making a cake							1			1																																											
calamari	(Italian cuisine) squid prepared as food										1																																1											
calculator	a small machine that is used for mathematical calculations																																							1							1							
calf	young of domestic cattle	1																													1																					1		
calf	the muscular back part of the shank			1																																																		
calzone	a type of pizza that is folded in half before cooking to contain a filling										1																																											
camcorder	a portable television camera and videocassette recorder									1																																												
camel	cud-chewing mammal used as a draft or saddle animal in desert regions	1																													1																							
camera lens	a lens that focuses the image in a camera																																																					
camera1	equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)																																																					
camera2	television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam									1																																												
camper	a recreational vehicle equipped for camping out while traveling																										1																											
can	airtight sealed metal container for food or drink or paint etc.						1																																															
can opener	a device for cutting cans open																1							1						1																								
candelabra	"branched candlestick; ornamental; has several lights"													1																								1																
candle	stick of wax with a wick in the middle													1																								1																
candlestick	a holder with sockets for candles													1																																								
candy	a rich sweet made of flavored sugar and often combined with fruit or nuts										1																		1																									
candy bar	a candy shaped as a bar										1																		1																									
candy cane	a hard candy in the shape of a rod (usually with stripes)										1																		1																									
cane	a stick that people can lean on to help them walk																	1																																				
canister	metal container for storing dry foods such as tea or flour						1																																															
cannon	a large artillery gun that is usually on wheels																											1																										
cannonball	a solid projectile that in former times was fired from a cannon																											1																										
canoe	"small and light boat; pointed at both ends; propelled with a paddle"																										1								1																			
cantaloupe	"the fruit of a cantaloup vine; small to medium-sized melon with yellowish flesh"										1	1																																										
canvas	an oil painting on canvas fabric																																								1													
cap	a top (as for a bottle)																																																					
cape	a sleeveless garment like a cloak but shorter				1																																																1	
car	"a motor vehicle with four wheels; usually propelled by an internal combustion engine"																										1																											
car door	the door of a car																				1																																	
car seat	a seat in a car																				1																																	
caramel	firm chewy candy made from caramelized sugar and butter and milk							1			1																		1																									
card	one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes																																																					
cardboard	a stiff moderately thick paper																																								1													
cardigan	knitted jacket that is fastened up the front with buttons or a zipper				1																																																	
cardinal	crested thick-billed North American finch having bright red plumage in the male	1	1																																																			
carousel	a large, rotating machine with seats for children to ride or amusement																																																					
carriage	a vehicle with wheels drawn by one or more horses																										1																											
carrot	"orange root; important source of carotene"										1															1																												
cart	a heavy open wagon usually having two wheels and drawn by an animal																										1																											
cash machine	an unattended machine (outside some banks) that dispenses money when a personal coded card is used									1																																												
cash register	"a cashbox with an adding machine to register transactions; used in shops to add up the bill"																																																					
cashew	kidney-shaped nut edible only when roasted										1																																											
casserole	food cooked and served in a casserole										1																																											
cassette	a container that holds a magnetic tape used for recording or playing sound or video																																																					
cat	"feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats"	1																													1																							
catapult	"an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles"																											1																										
caterpillar	a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth	1													1																																							
catfish	any of numerous mostly freshwater bottom-living fishes of Eurasia and North America with barbels like whiskers around the mouth	1									1																					1											1											
cauliflower	compact head of white undeveloped flowers										1															1																												
caviar	"salted roe of sturgeon or other large fish; usually served as an hors d'oeuvre"										1																																1											
cd player	a stand-alone piece of electronic equipment that either has its own display or attaches to a television set									1																																												
celery	stalks eaten raw or cooked or used as seasoning										1															1																												
cello	"a large stringed instrument; seated player holds it upright while playing"																		1																																			
cellphone	a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver									1																																												
cement mixer	a machine with a large revolving drum in which cement is mixed with other materials to make concrete																																																	1				
centerpiece	something placed at the center of something else (as on a table)													1																																								
centrifuge	an apparatus that uses centrifugal force to separate particles from a suspension									1																														1														
cereal	a breakfast food prepared from grain										1																																	1										
chain	a series of (usually metal) rings or links fitted into one another to make a flexible ligament																							1						1			1																	1				
chainsaw	"portable power saw; teeth linked to form an endless chain"									1														1				1		1							1													1				
chair	a seat for one person, with a support for the back												1																																									
chalice	"a bowl-shaped drinking vessel; especially the Eucharistic cup"																																																					
chalk	a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces																																								1						1							
chalkboard	"sheet of slate; for writing with chalk"																																														1							
champagne	a white sparkling wine either produced in Champagne or resembling that produced there								1																																													
chandelier	"branched lighting fixture; often ornate; hangs from the ceiling"													1																								1																
chaps	"(usually in the plural) leather leggings without a seat; joined by a belt; often have flared outer flaps; worn over trousers by cowboys to protect their legs"				1																																																	
charcoal	a carbonaceous material obtained by heating wood or other organic matter in the absence of air																																								1													
charger	a device for charging or recharging batteries																													1																								
chariot	"a two-wheeled horse-drawn battle vehicle; used in war and races in ancient Egypt and Greece and Rome"																										1																											
checkbook	a book issued to holders of checking accounts																																																					
checkers	"a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces"																																																		1			
cheese	a solid food prepared from the pressed curd of milk							1			1																																											
cheeseburger	a hamburger with melted cheese on it										1																																											
cheesecake	made with sweetened cream cheese and eggs and cream baked in a crumb crust							1			1																																											
cheetah	"long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game"	1																													1																							
cherry	a red fruit with a single hard stone										1	1																																										
chess piece	any of 16 white and 16 black pieces used in playing the game of chess																																																					
chessboard	a checkerboard used to play chess																																																		1			
chest1	the front of the trunk from the neck to the abdomen			1																																																		
chest2	"box with a lid; used for storage; usually large and sturdy"						1						1																																									
chick	young bird especially of domestic fowl	1	1																																																			
chicken wire	"a galvanized wire network with a hexagonal mesh; used to build fences"																													1																								
chicken	the flesh of a chicken used for food										1																																											
chicken	"a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl"	1																																																		1		
chickpea	"large white roundish Asiatic legume; usually dried"										1															1																												
chihuahua	an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization	1																													1																							
chili	ground beef and chili peppers or chili powder often with tomatoes and kidney beans										1																																											
chime	"a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument"																		1																																			
chimney	a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building																																																					
